country_name,Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita
Serbia,0.29975182212223295,,1.6535850550786632e-05,6.013036563922412e-07,1.6535850550786632e-05,,1.6535850550786632e-05,0.0,0.0,1.6535850550786632e-05,1.6535850550786632e-05,1.6535850550786632e-05,1.6535850550786632e-05,774.0,2700004.0,343.8646657886631
Hungary,0.36969777403067455,,7.000992111606772e-06,8.1170923033122e-07,7.000992111606772e-06,,7.000992111606772e-06,0.0,0.0,7.000992111606772e-06,7.000992111606772e-06,7.000992111606772e-06,7.000992111606772e-06,491.0,6160006.0,464.2976797494578
Austria,0.35066592752021863,,9.478162480905684e-06,0.0,9.478162480905684e-06,,9.478162480905684e-06,0.0,0.0,9.478162480905684e-06,9.478162480905684e-06,9.478162480905684e-06,9.478162480905684e-06,595.0,14160016.0,610.5888024096388
Angola,0.9482763341255143,0.0,8.010308675900815e-06,4.03203456840645e-07,8.010308675900815e-06,0.0,8.010308675900815e-06,5.3760460912086005e-08,0.0,8.010308675900815e-06,8.010308675900815e-06,8.010308675900815e-06,8.010308675900815e-06,2103.0,10700003.0,29.60481061506752
Nigeria,1.94263100862128,0.0,6.884983117282211e-07,6.335874034308784e-08,6.884983117282211e-07,0.0,6.884983117282211e-07,4.6463076251597745e-08,0.0,6.884983117282211e-07,6.884983117282211e-07,6.884983117282211e-07,6.884983117282211e-07,1167.0,23000001.0,13.347574632277171
Venezuela,1.9885225510674953,0.0,7.327928010435225e-06,3.199968563508832e-07,7.327928010435225e-06,0.0,7.327928010435225e-06,9.599905690526496e-08,3.199968563508832e-08,7.327928010435225e-06,7.327928010435225e-06,7.327928010435225e-06,7.327928010435225e-06,1618.0,11700003.0,130.9785532666927
Slovakia,0.18741265059317763,,7.369262983832556e-06,0.0,7.369262983832556e-06,,7.369262983832556e-06,1.797381215568916e-07,0.0,7.369262983832556e-06,7.369262983832556e-06,7.369262983832556e-06,7.369262983832556e-06,288.0,1950004.0,477.3844508551041
Cuba,0.4037888318103644,0.0,2.826909515824264e-06,3.647625181708728e-07,2.826909515824264e-06,0.0,2.826909515824264e-06,0.0,0.0,2.826909515824264e-06,2.826909515824264e-06,2.826909515824264e-06,2.826909515824264e-06,221.0,8550008.0,411.1588514321352
Azerbaijan,0.8189354060704915,0.0,1.445976804278589e-05,1.5023135628868457e-06,1.445976804278589e-05,0.0,1.445976804278589e-05,0.0,0.0,1.445976804278589e-05,1.445976804278589e-05,1.445976804278589e-05,1.445976804278589e-05,1098.0,42640040.0,469.4729884021393
Kazakhstan,1.9372590280397959,0.0,9.772948252189646e-06,5.922998940720997e-07,9.772948252189646e-06,0.0,9.772948252189646e-06,0.0,0.0,9.772948252189646e-06,9.772948252189646e-06,9.772948252189646e-06,9.772948252189646e-06,1398.0,24500012.0,101.12039941545923
