Country,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km)
Peru,12000004,0,166,256,256,16,15648120480,2414,8,3420000000,0,59400000000,256,12681497389,71394000000,7,0,256,18529000,1285216,111,0,12270000000,210000,118000,20,858890000,517644000000,1855,38500012,18699,256,12,7062,12,4,0,256,256,71,32600249,290,256,256,8808
Denmark,2000003,0,99,117,117,0,2628180440,7314,0,7225466250,0,555500000000,117,2126436356,109371000000,9,0,117,3180000,43094,715,6,1879000000,152000,63000,69,441000000,428385000000,2682,1200002,74558,117,19,140,3,0,0,117,117,50,5973136,0,117,117,400
Ethiopia,16200001,,57,103,103,7,56904143480,,,2097575000,,25761000000,103,35327989298,3131288000,,,103,61664000,1104300,12,,0,110000,0,0,428000,354604000000,659,000,120171,103,35,5925,0,,0,103,103,,118550298,309,103,103,0
Chile,8000004,0,374,277,277,0,8959033480,6435,0,5032500000,0,214500000000,277,7521855403,46377000000,8,0,277,9848000,756102,249,0,1200000000,405000,11000,39,150000000,579201000000,7282,4000002,77801,277,48,7801,21,4,5,277,277,130,18664652,249,277,277,12290
Serbia,2500004,,43,110,110,4,3259584490,,,2287461000,,35200000000,110,2574406387,27569000000,,,110,3333000,77474,0,,353376000,82000,13000,0,77500000,162213000000,3333,200000,44248,110,90,2322,0,,0,110,110,,6652212,150,110,110,587
Hungary,4160004,,109,69,69,8,4632200470,,,4576000000,,137500000000,69,3794462385,45719000000,,,69,5006000,103000,1,,1523000000,175000,36000,0,12100000,388906000000,7687,2000002,203601,69,24,2106,0,,0,69,69,,9855745,295,69,69,1622
Austria,1600002,,61,85,85,0,4035592450,,,5475750000,,630000000000,85,3632033405,31212000000,,,85,4825000,83871,1,,618209000,245000,18000,0,35200000,590354000000,6123,12560014,137039,85,30,2524,0,,0,85,85,,8967982,0,85,85,358
Angola,10700003,0,106,298,298,15,7440412200,1600,0,1101360000,0,45774500000,298,3720206100,13942000000,0,0,298,15223000,1246700,64,0,5514000000,127000,1175000,21,7783000000,265868000000,2761,000,26000,298,25,5369,2,0,0,298,298,31,37202061,575,298,298,1300
Nigeria,23000001,0,47,163,163,15,125475979530,853,0,3160000000,0,32455500000,163,90437404382,41349000000,1,0,163,75721000,923768,928,2,39951000000,515000,1541000,28,36890000000,1275000000000,3798,000,195000,163,40,4477,11,0,0,163,163,133,236747130,339,163,163,8600
Venezuela,10900003,0,502,229,229,10,15625153500,2800,0,4093120000,0,110330000000,229,12812625410,10095500000,1,0,229,11548000,912050,272,0,17696000000,367000,761000,31,303806000000,295974800000,447,800000,96189,229,48,5267,3,1,1,229,229,34,31250306,100,229,229,7100
